time,roll_angle,roll_rate,setpoint,u_cmd,battery_voltage,model,Kp,Ki,Kd
2.039984941,0.015017994,-6.230000019,0,0.049505044,4.299414158,SPRING,1.5,0,0.37
2.059984922,0.012097497,-6.256249428,0,0.063598067,4.301025391,SPRING,1.5,0,0.37
2.079984903,0.012065912,-6.116250038,0,0.011845671,4.299414158,SPRING,1.5,0,0.37
2.099984884,0.008790398,-6.247499943,0,0.065321408,4.302636623,SPRING,1.5,0,0.37
2.119984865,0.431664616,19.91500092,0,-10.24911499,4.304247856,SPRING,1.5,0,0.37
2.139984846,-0.026100673,-28.90125275,0,8.499547005,4.302636623,SPRING,1.5,0,0.37
2.159984827,0.104380749,-5.013750076,0,-0.534551561,4.301025391,SPRING,1.5,0,0.37
2.179984808,0.12544845,6.335000038,0,-4.765191078,4.302636623,SPRING,1.5,0,0.37
2.199984789,0.064652793,-2.974999905,0,-1.229297161,4.304247856,SPRING,1.5,0,0.37
2.21998477,0.039476439,-11.11250019,0,1.819342494,4.307470798,SPRING,1.5,0,0.37
2.239984751,0.059749398,-10.77124977,0,1.662670374,4.302636623,SPRING,1.5,0,0.37
2.25998497,0.081178382,-5.477499962,0,-0.328160554,4.301025391,SPRING,1.5,0,0.37
2.279984951,0.084821112,-3.631249905,0,-1.016737223,4.297802925,SPRING,1.5,0,0.37
2.299984932,0.077304713,-4.996250153,0,-0.500412464,4.301025391,SPRING,1.5,0,0.37
2.319984913,0.072762072,-5.985000134,0,-0.127761036,4.301025391,SPRING,1.5,0,0.37
2.339984894,-0.130904287,-26.34625053,0,7.711401463,4.299414158,SPRING,1.5,0,0.37
2.359984875,-0.068640731,15.28625011,0,-7.786019802,4.302636623,SPRING,1.5,0,0.37
2.379984856,-0.181248248,-1.417500019,0,-1.43672061,4.301025391,SPRING,1.5,0,0.37
2.399984837,-0.080437727,-0.560000002,0,-1.905211449,4.301025391,SPRING,1.5,0,0.37
2.419984818,-0.089921139,3.246249914,0,-3.299298763,4.301025391,SPRING,1.5,0,0.37
2.439984798,-0.183491588,-9.869999886,0,1.694069386,4.302636623,SPRING,1.5,0,0.37
